기준일자|노선명|전환_노선ID|승차_정류장순번|승차_정류장ARS|승차_정류장표준코드|승차_정류장명|하차_정류장순번|하차_정류장ARS|하차_정류장표준코드|하차_정류장명|승객수
|40||1|03252|102000158|신용산지하차도|4|03122||한강대교북단|4,,
|40||1|03252|102000158|신용산지하차도|1|03252|102000158|신용산지하차도|2,,
|40||1|03252|102000158|신용산지하차도|3|03256|102000162|용산푸르지오써밋|2,,
|40||1|03252|102000158|신용산지하차도|7|20115|119000025|노량진역2번출구|1,,
|40||1|03252|102000158|신용산지하차도|6|20119|119000027|사육신공원|2,,
|40||1|03252|102000158|신용산지하차도|5|20121|119000028|노들역|8,,
|40||1|03252|102000158|신용산지하차도|10|20152|119000059|동작구청.동작보건소건강관리청|3,,
|40||1|03252|102000158|신용산지하차도|11|20154|119000061|상도노빌리티아파트|4,,
|40||1|03252|102000158|신용산지하차도|13|20162|119000069|상도동중앙하이츠빌.상도전통시장|1,,
|40||1|03252|102000158|신용산지하차도|14|20164|119000071|숭실대입구역|2,,
|40||1|03252|102000158|신용산지하차도|15|20169|119000076|숭실대중문앞|1,,
|40||1|03252|102000158|신용산지하차도|16|20171|119000078|숭실대별관앞|1,,
|40||1|03252|102000158|신용산지하차도|8|20190|119000097|노량진초등학교앞|1,,
|40||1|03252|102000158|신용산지하차도|9|20192|119000099|장성교회|1,,
|40||1|03252|102000158|신용산지하차도|31|22136|121000060|서초역1번출구|1,,
|40||1|03252|102000158|신용산지하차도|30|22608|121001329|서리풀문화광장|1,,
|40||1|03252|102000158|신용산지하차도|35|23287|122000184|강남역1번출구.역삼세무서|5,,
|40||2|03255|102000161|용산역|4|03122||한강대교북단|12,,
|40||2|03255|102000161|용산역|3|03256|102000162|용산푸르지오써밋|2,,
|40||2|03255|102000161|용산역|7|20115|119000025|노량진역2번출구|3,,
|40||2|03255|102000161|용산역|5|20121|119000028|노들역|4,,
|40||2|03255|102000161|용산역|10|20152|119000059|동작구청.동작보건소건강관리청|2,,
|40||2|03255|102000161|용산역|11|20154|119000061|상도노빌리티아파트|8,,
|40||2|03255|102000161|용산역|12|20160|119000067|상도역|3,,
|40||2|03255|102000161|용산역|13|20162|119000069|상도동중앙하이츠빌.상도전통시장|2,,
|40||2|03255|102000161|용산역|14|20164|119000071|숭실대입구역|5,,
|40||2|03255|102000161|용산역|15|20169|119000076|숭실대중문앞|10,,
|40||2|03255|102000161|용산역|16|20171|119000078|숭실대별관앞|4,,
|40||2|03255|102000161|용산역|21|20179|119000086|남성역|1,,
|40||2|03255|102000161|용산역|22|20181|119000088|남성역골목시장|1,,
|40||2|03255|102000161|용산역|8|20190|119000097|노량진초등학교앞|1,,
|40||2|03255|102000161|용산역|9|20192|119000099|장성교회|1,,
|40||2|03255|102000161|용산역|23|20252|119000296|사당동대아신협앞|1,,
|40||2|03255|102000161|용산역|17|20254|119000319|사당롯데캐슬골든포레.사당해그린|1,,
|40||2|03255|102000161|용산역|31|22136|121000060|서초역1번출구|1,,
|40||2|03255|102000161|용산역|28|22387|121000306|방배고개|1,,
|40||2|03255|102000161|용산역|35|23287|122000184|강남역1번출구.역삼세무서|4,,
|40||2|03255|102000161|용산역|39|23297|122000193|래미안그레이튼아파트|1,,
|40||2|03255|102000161|용산역|38|23299|122000195|역삼동성당.역삼자이아파트|1,,
|40||3|03256|102000162|용산푸르지오써밋|3|03256|102000162|용산푸르지오써밋|1,,
|40||3|03256|102000162|용산푸르지오써밋|5|20121|119000028|노들역|5,,
|40||3|03256|102000162|용산푸르지오써밋|10|20152|119000059|동작구청.동작보건소건강관리청|2,,
|40||3|03256|102000162|용산푸르지오써밋|12|20160|119000067|상도역|1,,
|40||3|03256|102000162|용산푸르지오써밋|13|20162|119000069|상도동중앙하이츠빌.상도전통시장|1,,
|40||3|03256|102000162|용산푸르지오써밋|14|20164|119000071|숭실대입구역|1,,
|40||3|03256|102000162|용산푸르지오써밋|16|20171|119000078|숭실대별관앞|2,,
|40||3|03256|102000162|용산푸르지오써밋|8|20190|119000097|노량진초등학교앞|1,,
|40||3|03256|102000162|용산푸르지오써밋|28|22387|121000306|방배고개|1,,
|40||3|03256|102000162|용산푸르지오써밋|38|23299|122000195|역삼동성당.역삼자이아파트|1,,
|40||4|03122||한강대교북단|4|03122||한강대교북단|1,,
|40||4|03122||한강대교북단|7|20115|119000025|노량진역2번출구|1,,
|40||4|03122||한강대교북단|5|20121|119000028|노들역|1,,
|40||4|03122||한강대교북단|10|20152|119000059|동작구청.동작보건소건강관리청|3,,
|40||4|03122||한강대교북단|11|20154|119000061|상도노빌리티아파트|1,,
|40||4|03122||한강대교북단|14|20164|119000071|숭실대입구역|2,,
|40||4|03122||한강대교북단|22|20181|119000088|남성역골목시장|1,,
|40||4|03122||한강대교북단|8|20190|119000097|노량진초등학교앞|2,,
|40||4|03122||한강대교북단|40|23472|122000355|도곡중학교.강남세브란스병원|1,,
|40||5|20121|119000028|노들역|7|20115|119000025|노량진역2번출구|7,,
|40||5|20121|119000028|노들역|6|20119|119000027|사육신공원|1,,
|40||5|20121|119000028|노들역|10|20152|119000059|동작구청.동작보건소건강관리청|3,,
|40||5|20121|119000028|노들역|15|20169|119000076|숭실대중문앞|2,,
|40||5|20121|119000028|노들역|9|20192|119000099|장성교회|1,,
|40||5|20121|119000028|노들역|31|22136|121000060|서초역1번출구|1,,
|40||6|20119|119000027|사육신공원|7|20115|119000025|노량진역2번출구|4,,
|40||6|20119|119000027|사육신공원|6|20119|119000027|사육신공원|1,,
|40||6|20119|119000027|사육신공원|10|20152|119000059|동작구청.동작보건소건강관리청|2,,
|40||6|20119|119000027|사육신공원|11|20154|119000061|상도노빌리티아파트|1,,
|40||6|20119|119000027|사육신공원|12|20160|119000067|상도역|1,,
|40||6|20119|119000027|사육신공원|13|20162|119000069|상도동중앙하이츠빌.상도전통시장|1,,
|40||6|20119|119000027|사육신공원|14|20164|119000071|숭실대입구역|1,,
|40||6|20119|119000027|사육신공원|15|20169|119000076|숭실대중문앞|2,,
|40||6|20119|119000027|사육신공원|20|20176|119000083|사당중학교|1,,
|40||6|20119|119000027|사육신공원|21|20179|119000086|남성역|1,,
|40||6|20119|119000027|사육신공원|9|20192|119000099|장성교회|3,,
|40||6|20119|119000027|사육신공원|31|22136|121000060|서초역1번출구|1,,
|40||7|20115|119000025|노량진역2번출구|10|20152|119000059|동작구청.동작보건소건강관리청|27,,
